Key,Source,Context,English,German
plantedCorn1,block,farming,Corn Seed ([77dd77]grows[-]),Mais Samen ([77dd77]wächst[-])
plantedCornWater,block,farming,Corn ([80cee1]dry[-]),Mais ([80cee1]trocken[-])
plantedCorn2,block,farming,Corn ([77dd77]grows[-]),Mais ([77dd77]wächst[-])

seedGraceCorn,item,farming,Super Corn Seed,Super Mais Samen
seedGraceCornFert,block,farming,Super Corn Seed ([B1907F]fertilize[-]),Super Mais Samen ([B1907F]düngen[-])
seedGraceCornWater,block,farming,Super Corn Seed ([80cee1]dry[-]),Super Mais Samen ([80cee1]trocken[-])
plantedGraceCorn1,block,farming,Super Corn Seed ([77dd77]grows[-]),Super Mais Samen ([77dd77]wächst[-])
plantedGraceCornWater,block,farming,Super Corn ([80cee1]dry[-]),Super Mais ([80cee1]trocken[-])
plantedGraceCorn2,block,farming,Super Corn ([77dd77]grows[-]),Super Mais ([77dd77]wächst[-])

seedHop,item,farming,Hop Seed,Hopfen Samen
seedHopFert,block,farming,Hop Seed ([B1907F]fertilize[-]),Hopfen Samen ([B1907F]düngen[-])
seedHopWater,block,farming,Hop Seed ([80cee1]dry[-]),Hopfen Samen ([80cee1]trocken[-])
plantedHop1,block,farming,Hop Seed ([77dd77]grows[-]),Hopfen Samen ([77dd77]wächst[-])
plantedHopWater,block,farming,Hop ([80cee1]dry[-]),Hopfen ([80cee1]trocken[-])
plantedHop2,block,farming,Hop ([77dd77]grows[-]),Hopfen ([77dd77]wächst[-])

seedSnowberry,item,farming,Snowberry Seed,Schneebeeren Samen
seedSnowberryFert,block,farming,Snowberry Seed ([B1907F]fertilize[-]),Schneebeeren Samen ([B1907F]düngen[-])
seedSnowberryWater,block,farming,Snowberry Seed ([80cee1]dry[-]),Schneebeeren Samen ([80cee1]trocken[-])
plantedSnowberry1,block,farming,Snowberry Seed ([77dd77]grows[-]),Schneebeeren Samen ([77dd77]wächst[-])
plantedSnowberryWater,block,farming,Snowberry ([80cee1]dry[-]),Schneebeeren ([80cee1]trocken[-])
plantedSnowberry2,block,farming,Snowberry ([77dd77]grows[-]),Schneebeeren ([77dd77]wächst[-])

seedPumpkin,block,farming,Pumpkin Seed,Kürbis Samen
seedPumpkinFert,block,farming,Pumpkin Seed ([B1907F]fertilize[-]),Kürbis Samen (düngen)
seedPumpkinWater,block,farming,Pumpkin Seed ([80cee1]dry[-]),Kürbis Samen ([80cee1]trocken[-])
plantedPumpkin1,block,farming,Pumpkin Seed ([77dd77]grows[-]),Kürbis Samen ([77dd77]wächst[-])
plantedPumpkinWater,block,farming,Pumpkin ([80cee1]dry[-]),Kürbis ([80cee1]trocken[-])
plantedPumpkin2,block,farming,Pumpkin ([77dd77]grows[-]),Kürbis ([77dd77]wächst[-])
